run_id,step_idx,sigma_0,eps_total,eps_delta,e_s,sigma_delta,phase,cut,param.c_c,param.c_s,param.e0,param.eps_0,param.eps_delta,param.sigma_max,param.sigma_min,param.sigma_prime_p
0,0,-1.2711194063761075,0.0,-0.0005,508.44776255044303,0.0,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,1,-1.5253432876513289,-0.0005,-0.0005,610.1373150605316,-0.25422388127522144,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,2,-1.8304119451815946,-0.001,-0.0005,732.1647780726378,-0.30506865753026574,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,3,-2.1964943342179133,-0.0015,-0.0005,878.5977336871654,-0.3660823890363189,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,4,-2.635793201061496,-0.002,-0.0005,1054.3172804245983,-0.43929886684358266,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,5,-3.162951841273795,-0.0025,-0.0005,1265.180736509518,-0.5271586402122992,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,6,-3.7955422095285543,-0.003,-0.0005,1518.2168838114217,-0.6325903682547591,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,7,-4.554650651434265,-0.0035,-0.0005,1821.860260573706,-0.7591084419057108,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,8,-5.465580781721118,-0.004,-0.0005,2186.232312688447,-0.9109301302868532,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,9,-6.558696938065342,-0.0045000000000000005,-0.0005,2623.478775226137,-1.0931161563442238,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,10,-7.87043632567841,-0.005000000000000001,-0.0005,3148.174530271364,-1.3117393876130685,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,11,-9.444523590814093,-0.005500000000000001,-0.0005,3777.8094363256373,-1.5740872651356823,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,12,-11.333428308976911,-0.006000000000000002,-0.0005,4533.371323590764,-1.8889047181628182,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,13,-13.600113970772293,-0.006500000000000002,-0.0005,5440.045588308917,-2.2666856617953823,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,14,-16.32013676492675,-0.007000000000000003,-0.0005,6528.0547059707005,-2.720022794154459,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,15,-19.584164117912103,-0.007500000000000003,-0.0005,7833.665647164841,-3.2640273529853503,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,16,-23.500996941494524,-0.008000000000000004,-0.0005,9400.398776597809,-3.916832823582421,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,17,-28.201196329793426,-0.008500000000000004,-0.0005,11280.47853191737,-4.700199388298904,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,18,-33.84143559575211,-0.009000000000000005,-0.0005,13536.574238300844,-5.640239265958685,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,19,-40.60972271490253,-0.009500000000000005,-0.0005,16243.889085961013,-6.768287119150421,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,20,-48.73166725788304,-0.010000000000000005,-0.0005,19492.666903153215,-8.121944542980508,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,21,-58.47800070945965,-0.010500000000000006,-0.0005,23391.20028378386,-9.746333451576607,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,22,-70.17360085135158,-0.011000000000000006,-0.0005,28069.440340540634,-11.69560014189193,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,23,-84.2083210216219,-0.011500000000000007,-0.0005,33683.32840864876,-14.034720170270317,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,24,-101.04998522594627,-0.012000000000000007,-0.0005,40419.99409037851,-16.84166420432438,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,25,-121.25998227113553,-0.012500000000000008,-0.0005,48503.99290845421,-20.209997045189255,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,26,-145.51197872536264,-0.013000000000000008,-0.0005,58204.79149014506,-24.251996454227108,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,27,-174.61437447043517,-0.013500000000000009,-0.0005,69845.74978817407,-29.102395745072528,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,28,-209.5372493645222,-0.014000000000000009,-0.0005,83814.89974580889,-34.92287489408703,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,29,-251.44469923742665,-0.01450000000000001,-0.0005,100577.87969497066,-41.90744987290444,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,30,-301.733639084912,-0.01500000000000001,-0.0005,120693.4556339648,-50.28893984748534,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,31,-362.0803669018944,-0.01550000000000001,-0.0005,144832.14676075778,-60.34672781698241,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,32,-434.4964402822733,-0.01600000000000001,-0.0005,173798.5761129093,-72.41607338037889,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,33,-521.395728338728,-0.01650000000000001,-0.0005,208558.29133549117,-86.89928805645467,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,34,-625.6748740064736,-0.01700000000000001,-0.0005,250269.94960258945,-104.27914566774561,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,35,-750.8098488077683,-0.017500000000000012,-0.0005,300323.9395231073,-125.13497480129473,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,36,-900.971818569322,-0.018000000000000013,-0.0005,360388.72742772877,-150.16196976155368,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,37,-900.971818569322,-0.018000000000000013,0.0005,900971.818569322,0.0,extension,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,38,-450.4859092846609,-0.017500000000000012,0.0005,450485.90928466094,450.48590928466103,extension,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,39,-225.24295464233046,-0.01700000000000001,0.0005,225242.95464233047,225.24295464233046,extension,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
0,40,-112.62147732116523,-0.01650000000000001,0.0005,112621.47732116524,112.62147732116523,extension,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028967,-1.2711194063761075
1,0,-0.9480157449259797,0.0,-0.0005,379.2062979703919,0.0,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,1,-1.1376188939111758,-0.0005,-0.0005,455.0475575644703,-0.18960314898519595,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,2,-1.3651426726934108,-0.001,-0.0005,546.0570690773643,-0.22752377878223515,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,3,-1.638171207232093,-0.0015,-0.0005,655.2684828928373,-0.27302853453868214,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,4,-1.9658054486785117,-0.002,-0.0005,786.3221794714046,-0.3276342414464186,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,5,-2.358966538414214,-0.0025,-0.0005,943.5866153656857,-0.3931610897357023,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,6,-2.830759846097057,-0.003,-0.0005,1132.3039384388228,-0.47179330768284283,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,7,-3.3969118153164684,-0.0035,-0.0005,1358.7647261265874,-0.5661519692194115,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,8,-4.076294178379762,-0.004,-0.0005,1630.517671351905,-0.6793823630632937,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,9,-4.891553014055715,-0.0045000000000000005,-0.0005,1956.621205622286,-0.8152588356759525,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,10,-5.869863616866858,-0.005000000000000001,-0.0005,2347.945446746743,-0.9783106028111428,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,11,-7.0438363402402295,-0.005500000000000001,-0.0005,2817.534536096092,-1.1739727233733714,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,12,-8.452603608288275,-0.006000000000000002,-0.0005,3381.04144331531,-1.408767268048046,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,13,-10.14312432994593,-0.006500000000000002,-0.0005,4057.249731978372,-1.690520721657655,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
1,14,-12.171749195935117,-0.007000000000000003,-0.0005,4868.699678374047,-2.028624865989186,compression,37,0.005,0.002,1.0,0.0,-0.0005,-926.0206976607568,-102.17830386921612,-0.9480157449259797
