run_id,step_idx,sigma_0,eps_total,eps_delta,e_s,sigma_delta,phase,cut,param.c_c,param.c_s,param.e0,param.eps_0,param.eps_delta,param.sigma_max,param.sigma_min,param.sigma_prime_p,global_idx,pred_e_s,pred_sigma_0
0,0,-1.2711194063761075,0.0,-0.0005,508.44776255044303,0.0,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,0,952.96765,-2.382419125
0,1,-1.5253432876513289,-0.0005,-0.0005,610.1373150605316,-0.2542238812752214,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,1,1046.0145,-2.61503625
0,2,-1.8304119451815943,-0.001,-0.0005,732.1647780726378,-0.3050686575302657,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,2,1157.7333,-2.8943332500000003
0,3,-2.1964943342179133,-0.0015,-0.0005,878.5977336871654,-0.3660823890363189,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,3,1291.7958,-3.2294895
0,4,-2.635793201061496,-0.002,-0.0005,1054.3172804245985,-0.4392988668435826,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,4,1452.6708,-3.631677
0,5,-3.162951841273795,-0.0025,-0.0005,1265.180736509518,-0.5271586402122992,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,5,1645.7489,-4.11437225
0,6,-3.795542209528554,-0.003,-0.0005,1518.2168838114217,-0.6325903682547591,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,6,1877.4052,-4.693512999999999
0,7,-4.554650651434265,-0.0035,-0.0005,1821.860260573706,-0.7591084419057108,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,7,2155.405,-5.388512500000001
0,8,-5.465580781721118,-0.004,-0.0005,2186.232312688447,-0.9109301302868532,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,8,2489.0144,-6.222536
0,9,-6.558696938065342,-0.0045,-0.0005,2623.478775226137,-1.0931161563442238,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,9,2889.327,-7.2233175
0,10,-7.87043632567841,-0.005,-0.0005,3148.174530271364,-1.3117393876130683,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,10,3369.7332,-8.424333
0,11,-9.444523590814091,-0.0055,-0.0005,3777.809436325637,-1.5740872651356823,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,11,3965.5457,-9.91386425
0,12,-11.333428308976911,-0.006,-0.0005,4533.371323590764,-1.8889047181628185,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,12,4684.093,-11.7102325
0,13,-13.600113970772291,-0.0065,-0.0005,5440.045588308917,-2.2666856617953823,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,13,5547.327,-13.8683175
0,14,-16.32013676492675,-0.007,-0.0005,6528.0547059707005,-2.720022794154459,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,14,6598.5615,-16.49640375
0,15,-19.584164117912103,-0.0075,-0.0005,7833.665647164841,-3.2640273529853503,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,15,7863.702,-19.659255
0,16,-23.500996941494524,-0.008,-0.0005,9400.398776597807,-3.916832823582421,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,16,9424.03,-23.560075
0,17,-28.201196329793422,-0.0085,-0.0005,11280.47853191737,-4.700199388298904,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,17,11296.437,-28.2410925
0,18,-33.84143559575211,-0.009,-0.0005,13536.574238300844,-5.640239265958685,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,18,13543.296,-33.85824
0,19,-40.60972271490253,-0.0095,-0.0005,16243.889085961013,-6.768287119150421,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,19,16239.546,-40.598865
0,20,-48.73166725788304,-0.01,-0.0005,19492.66690315321,-8.121944542980508,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,20,19475.498,-48.688745
0,21,-58.47800070945965,-0.0105,-0.0005,23391.20028378386,-9.746333451576607,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,21,23375.873,-58.4396825
0,22,-70.17360085135158,-0.011,-0.0005,28069.440340540637,-11.69560014189193,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,22,28056.28,-70.1407
0,23,-84.2083210216219,-0.0115,-0.0005,33683.32840864876,-14.034720170270315,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,23,33672.78,-84.18195
0,24,-101.04998522594629,-0.012,-0.0005,40419.99409037851,-16.84166420432438,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,24,40412.594,-101.031485
0,25,-121.25998227113551,-0.0125,-0.0005,48503.99290845421,-20.20999704518925,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,25,48500.344,-121.25086
0,26,-145.51197872536264,-0.013,-0.0005,58204.79149014506,-24.251996454227108,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,26,58205.656,-145.51414
0,27,-174.61437447043517,-0.0135,-0.0005,69845.74978817407,-29.102395745072528,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,27,69852.05,-174.63012500000002
0,28,-209.5372493645222,-0.014,-0.0005,83814.89974580889,-34.92287489408703,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,28,83827.7,-209.56925
0,29,-251.44469923742665,-0.0145,-0.0005,100577.87969497066,-41.90744987290444,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,29,100535.39,-251.338475
0,30,-301.733639084912,-0.015,-0.0005,120693.4556339648,-50.28893984748534,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,30,121024.13,-302.56032500000003
0,31,-362.0803669018944,-0.0155,-0.0005,144832.14676075778,-60.34672781698241,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,31,145035.77,-362.589425
0,32,-434.4964402822733,-0.016,-0.0005,173798.5761129093,-72.41607338037889,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,32,173984.48,-434.9612
0,33,-521.395728338728,-0.0165,-0.0005,208558.2913354912,-86.89928805645467,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,33,208880.77,-522.201925
0,34,-625.6748740064736,-0.017,-0.0005,250269.94960258945,-104.2791456677456,compression,36,0.005,0.002,1.0,0.0,-0.0005,-902.5446313324148,-103.62578323028968,-1.2711194063761075,34,250448.97,-626.122425
