epoch,train_mse,train_rmse,train_mae,train_r2,val_mse,val_rmse,val_mae,val_r2
1,1.0202897787094116,1.0043420466509732,0.764841843735088,-0.10730393366380171,1.115079641342163,1.0559732913970947,0.807120680809021,-0.09926724433898926
2,0.9768545844338157,0.9826868122274225,0.7471119273792614,-0.059951619668440384,1.0667892694473267,1.0328549146652222,0.7879734039306641,-0.05166172981262207
3,0.9356182271784003,0.9616792310367931,0.7303062352267179,-0.015008731321855024,1.0208665132522583,1.010379433631897,0.7694753408432007,-0.006390094757080078
4,0.8965429826216265,0.9413387667049061,0.7140054594386708,0.027584048834714023,0.9772155284881592,0.9885421395301819,0.7514054179191589,0.036641836166381836
5,0.8606099323792891,0.9222169030796398,0.6983301043510437,0.06684485890648582,0.9370197057723999,0.9679977893829346,0.7338834404945374,0.07626765966415405
6,0.8273791183124889,0.9041487195275046,0.6830228729681536,0.10325651277195323,0.8996334075927734,0.9484900832176208,0.7168818712234497,0.1131238341331482
7,0.7948802167719061,0.8861204819245772,0.6678103587844155,0.1388709003275091,0.863548755645752,0.929273247718811,0.7002134323120117,0.14869683980941772
8,0.7629342946139249,0.8680471506985751,0.652784526348114,0.1738230369307778,0.8280993700027466,0.909999668598175,0.6837373375892639,0.18364351987838745
9,0.7314369570125233,0.8498670729723844,0.6378264318812977,0.2082200050354004,0.7926547527313232,0.890311598777771,0.6673473119735718,0.21858549118041992
10,0.6996305422349409,0.8311277790503069,0.6229617595672607,0.242865421555259,0.7568312883377075,0.8699604868888855,0.6508714556694031,0.253900945186615
11,0.6686822826212103,0.8124834244901483,0.608082034371116,0.2765595316886902,0.7220593690872192,0.849740743637085,0.634400486946106,0.28817981481552124
12,0.6376222263682972,0.7933273098685525,0.5926687609065663,0.31038886308670044,0.687436044216156,0.8291176557540894,0.6174794435501099,0.3223121166229248
13,0.6063657728108492,0.7735673676837574,0.5765392888676036,0.3444446704604409,0.652675449848175,0.8078833222389221,0.5998067855834961,0.3565797805786133
14,0.5748989365317605,0.7531431859189813,0.5592922189018943,0.3787543611093001,0.6178373098373413,0.7860262989997864,0.5810369253158569,0.3909239172935486
15,0.5427589253945784,0.7316952781243757,0.5409696969118986,0.41379037770358,0.5822300314903259,0.7630400061607361,0.5610058307647705,0.42602628469467163
16,0.5101065906611356,0.7092465487393466,0.5219288739291105,0.44936640696092084,0.5462832450866699,0.7391097545623779,0.5401688814163208,0.4614633321762085
17,0.4774784499948675,0.6860866275700656,0.5023503411899913,0.4848962534557689,0.5104396343231201,0.7144505977630615,0.5187786221504211,0.49679863452911377
18,0.44505193016745825,0.6622798876328901,0.48211604898626154,0.5201687812805176,0.474658727645874,0.6889548301696777,0.4965662658214569,0.5320721864700317
19,0.41300796378742566,0.637876109643416,0.4609131542119113,0.5550374117764559,0.4393731653690338,0.6628522872924805,0.4733516573905945,0.5668573379516602
20,0.38229567354375665,0.613551443273371,0.4388509013436057,0.5885176387700167,0.40561747550964355,0.6368810534477234,0.44943270087242126,0.6001343727111816
21,0.3519452051682906,0.5885304971174761,0.4159642593427138,0.6215870651331815,0.37226834893226624,0.6101379990577698,0.4247435927391052,0.6330106258392334
22,0.32182780450040643,0.5626143704761158,0.3922201936895197,0.6543683897365223,0.3392326831817627,0.5824368596076965,0.3991839289665222,0.6655778288841248
23,0.2923273064873435,0.5360276915810325,0.36785312403332104,0.6864445859735663,0.306965708732605,0.5540448427200317,0.37316587567329407,0.6973872184753418
24,0.26407235860824585,0.5092764442617242,0.3440923501144756,0.717133332382549,0.276050329208374,0.5254049301147461,0.3474857807159424,0.7278642058372498
25,0.23715743151578036,0.4824323979291049,0.32157317345792596,0.7463283538818359,0.24669460952281952,0.49668359756469727,0.32307422161102295,0.7568036317825317
26,0.21184549819339404,0.4557504220442338,0.2995095632293008,0.7737702456387606,0.21926534175872803,0.4682577848434448,0.2993154525756836,0.7838439345359802
27,0.18823467872359537,0.4293738766150041,0.2766400521451777,0.7993520606647838,0.19391436874866486,0.4403570890426636,0.27488642930984497,0.8088354468345642
28,0.1660792502489957,0.4030866026878357,0.25334417007186194,0.8233034719120372,0.17034828662872314,0.41273272037506104,0.2501888871192932,0.8320673704147339
29,0.14543768628077072,0.37700532241301105,0.23025179451162164,0.8455352512272921,0.14839816093444824,0.3852248191833496,0.22565242648124695,0.8537061810493469
30,0.12658597393469376,0.3515573956749656,0.20731513066725296,0.8657616485248912,0.12839564681053162,0.3583233952522278,0.20125620067119598,0.8734250664710999
31,0.10967471924695102,0.3271138668060303,0.18457496166229248,0.8838290301236239,0.11060380190610886,0.33257150650024414,0.17713439464569092,0.8909646272659302
32,0.09433029185641896,0.3033528382127935,0.1629381992600181,0.9000991474498402,0.0944516658782959,0.3073298931121826,0.154121533036232,0.9068877100944519
33,0.08094743300567973,0.28108481114560907,0.14232503284107556,0.914201638915322,0.08044184744358063,0.28362271189689636,0.1322169452905655,0.920698881149292
34,0.06975077024915001,0.26105803793126886,0.12286331436850807,0.9259455854242499,0.06889867782592773,0.2624855637550354,0.11172691732645035,0.9320783615112305
35,0.06059189953587272,0.24350128390572287,0.11598103967579929,0.9355082349343733,0.05958620086312294,0.2441028505563736,0.10328974574804306,0.9412587881088257
36,0.05296280031854456,0.2278662703254006,0.1204955821687525,0.943451388315721,0.05205516517162323,0.22815601527690887,0.10964407026767731,0.9486830234527588
37,0.046531482176347214,0.21381917866793546,0.12446439537135037,0.9501229632984508,0.045851994305849075,0.21413078904151917,0.11555870622396469,0.9547982215881348
38,0.04111136157404293,0.2012170688672499,0.12674976749853653,0.9557370543479919,0.040720630437135696,0.20179353654384613,0.11952956765890121,0.9598568081855774
39,0.03647364472801035,0.18973374366760254,0.12719360264864835,0.9605584307150408,0.036427486687898636,0.190859854221344,0.12156933546066284,0.9640890955924988
40,0.03236249427903782,0.178899808363481,0.12591694701801648,0.964852593161843,0.03265807405114174,0.18071545660495758,0.1217428594827652,0.967805027961731
41,0.028631842949173668,0.16842965917153793,0.1230923208323392,0.9687683907422152,0.029201021417975426,0.17088305950164795,0.12017057836055756,0.9712130427360535
42,0.02526977522806688,0.1583438664674759,0.11883430589329112,0.9723370129411871,0.02606767974793911,0.16145488619804382,0.11699404567480087,0.9743019938468933
