data_loss,epoch,mean_loss,step
1.7258815076069382e+27,0,1.7258815076069382e+27,38
1.7258815076069382e+27,1,1.7258815076069382e+27,77
1.7258815076069382e+27,2,1.7258815076069382e+27,116
1.7258815076069382e+27,3,1.7258815076069382e+27,155
1.7258815076069382e+27,4,1.7258815076069382e+27,194
1.7258815076069382e+27,5,1.7258815076069382e+27,233
1.7258815076069382e+27,6,1.7258815076069382e+27,272
1.7258815076069382e+27,7,1.7258815076069382e+27,311
1.7258815076069382e+27,8,1.7258815076069382e+27,350
1.7258815076069382e+27,9,1.7258815076069382e+27,389
1.7258815076069382e+27,10,1.7258815076069382e+27,428
1.7258815076069382e+27,11,1.7258815076069382e+27,467
1.7258815076069382e+27,12,1.7258815076069382e+27,506
1.7258815076069382e+27,13,1.7258815076069382e+27,545
1.7258815076069382e+27,14,1.7258815076069382e+27,584
1.7258815076069382e+27,15,1.7258815076069382e+27,623
1.7258815076069382e+27,16,1.7258815076069382e+27,662
1.7258815076069382e+27,17,1.7258815076069382e+27,701
1.7258815076069382e+27,18,1.7258815076069382e+27,740
1.7258815076069382e+27,19,1.7258815076069382e+27,779
1.7258815076069382e+27,20,1.7258815076069382e+27,818
1.7258815076069382e+27,21,1.7258815076069382e+27,857
1.7258815076069382e+27,22,1.7258815076069382e+27,896
1.7258815076069382e+27,23,1.7258815076069382e+27,935
1.7258815076069382e+27,24,1.7258815076069382e+27,974
1.7258815076069382e+27,25,1.7258815076069382e+27,1013
1.7258815076069382e+27,26,1.7258815076069382e+27,1052
1.7258815076069382e+27,27,1.7258815076069382e+27,1091
1.7258815076069382e+27,28,1.7258815076069382e+27,1130
1.7258815076069382e+27,29,1.7258815076069382e+27,1169
1.7258815076069382e+27,30,1.7258815076069382e+27,1208
1.7258815076069382e+27,31,1.7258815076069382e+27,1247
1.7258815076069382e+27,32,1.7258815076069382e+27,1286
1.7258815076069382e+27,33,1.7258815076069382e+27,1325
1.7258815076069382e+27,34,1.7258815076069382e+27,1364
1.7258815076069382e+27,35,1.7258815076069382e+27,1403
1.7258815076069382e+27,36,1.7258815076069382e+27,1442
1.7258815076069382e+27,37,1.7258815076069382e+27,1481
1.7258815076069382e+27,38,1.7258815076069382e+27,1520
1.7258815076069382e+27,39,1.7258815076069382e+27,1559
1.7258815076069382e+27,40,1.7258815076069382e+27,1598
1.7258815076069382e+27,41,1.7258815076069382e+27,1637
1.7258815076069382e+27,42,1.7258815076069382e+27,1676
1.7258815076069382e+27,43,1.7258815076069382e+27,1715
1.7258815076069382e+27,44,1.7258815076069382e+27,1754
1.7258815076069382e+27,45,1.7258815076069382e+27,1793
1.7258815076069382e+27,46,1.7258815076069382e+27,1832
1.7258815076069382e+27,47,1.7258815076069382e+27,1871
1.7258815076069382e+27,48,1.7258815076069382e+27,1910
1.7258815076069382e+27,49,1.7258815076069382e+27,1949
1.7258815076069382e+27,50,1.7258815076069382e+27,1988
1.7258815076069382e+27,51,1.7258815076069382e+27,2027
1.7258815076069382e+27,52,1.7258815076069382e+27,2066
1.7258815076069382e+27,53,1.7258815076069382e+27,2105
1.7258815076069382e+27,54,1.7258815076069382e+27,2144
1.7258815076069382e+27,55,1.7258815076069382e+27,2183
1.7258815076069382e+27,56,1.7258815076069382e+27,2222
1.7258815076069382e+27,57,1.7258815076069382e+27,2261
1.7258815076069382e+27,58,1.7258815076069382e+27,2300
1.7258815076069382e+27,59,1.7258815076069382e+27,2339
1.7258815076069382e+27,60,1.7258815076069382e+27,2378
1.7258815076069382e+27,61,1.7258815076069382e+27,2417
