data_loss,epoch,mean_loss,step
13433.6279296875,0,13433.6279296875,42
13329.9619140625,1,13329.9619140625,85
13253.080078125,2,13253.080078125,128
13186.3330078125,3,13186.3330078125,171
13125.8515625,4,13125.8515625,214
13069.1015625,5,13069.1015625,257
13014.740234375,6,13014.740234375,300
12961.990234375,7,12961.990234375,343
12910.1806640625,8,12910.1806640625,386
12859.0927734375,9,12859.0927734375,429
12809.142578125,10,12809.142578125,472
12759.3154296875,11,12759.3154296875,515
12710.9912109375,12,12710.9912109375,558
12662.845703125,13,12662.845703125,601
12616.072265625,14,12616.072265625,644
12569.4580078125,15,12569.4580078125,687
12523.197265625,16,12523.197265625,730
12477.5537109375,17,12477.5537109375,773
12432.65234375,18,12432.65234375,816
12387.8740234375,19,12387.8740234375,859
12343.5234375,20,12343.5234375,902
12299.71484375,21,12299.71484375,945
12256.1455078125,22,12256.1455078125,988
12212.96484375,23,12212.96484375,1031
12170.0322265625,24,12170.0322265625,1074
12127.5107421875,25,12127.5107421875,1117
12085.203125,26,12085.203125,1160
12043.2099609375,27,12043.2099609375,1203
12001.408203125,28,12001.408203125,1246
11959.9140625,29,11959.9140625,1289
11918.619140625,30,11918.619140625,1332
11877.5634765625,31,11877.5634765625,1375
11836.6689453125,32,11836.6689453125,1418
11795.9814453125,33,11795.9814453125,1461
11755.458984375,34,11755.458984375,1504
11715.1669921875,35,11715.1669921875,1547
11675.0498046875,36,11675.0498046875,1590
11635.1884765625,37,11635.1884765625,1633
11595.51171875,38,11595.51171875,1676
11556.119140625,39,11556.119140625,1719
11516.935546875,40,11516.935546875,1762
11478.0537109375,41,11478.0537109375,1805
11439.421875,42,11439.421875,1848
11401.0966796875,43,11401.0966796875,1891
11363.087890625,44,11363.087890625,1934
11325.5322265625,45,11325.5322265625,1977
11289.0185546875,46,11289.0185546875,2020
11255.7255859375,47,11255.7255859375,2063
11225.9970703125,48,11225.9970703125,2106
11179.1923828125,49,11179.1923828125,2149
11144.0146484375,50,11144.0146484375,2192
11123.5751953125,51,11123.5751953125,2235
11070.7109375,52,11070.7109375,2278
11045.80078125,53,11045.80078125,2321
11001.32421875,54,11001.32421875,2364
10983.6669921875,55,10983.6669921875,2407
10928.5,56,10928.5,2450
10906.5556640625,57,10906.5556640625,2493
10858.2568359375,58,10858.2568359375,2536
10833.744140625,59,10833.744140625,2579
10787.0126953125,60,10787.0126953125,2622
10759.8193359375,61,10759.8193359375,2665
10716.8193359375,62,10716.8193359375,2708
10685.265625,63,10685.265625,2751
10647.7939453125,64,10647.7939453125,2794
10613.453125,65,10613.453125,2837
10581.9296875,66,10581.9296875,2880
10547.431640625,67,10547.431640625,2923
10526.6484375,68,10526.6484375,2966
10495.77734375,69,10495.77734375,3009
10446.791015625,70,10446.791015625,3052
10417.783203125,71,10417.783203125,3095
10380.029296875,72,10380.029296875,3138
10347.1884765625,73,10347.1884765625,3181
10318.0771484375,74,10318.0771484375,3224
10311.6904296875,75,10311.6904296875,3267
10251.83984375,76,10251.83984375,3310
10225.4638671875,77,10225.4638671875,3353
10189.865234375,78,10189.865234375,3396
10154.0771484375,79,10154.0771484375,3439
10124.865234375,80,10124.865234375,3482
10112.1865234375,81,10112.1865234375,3525
10060.087890625,82,10060.087890625,3568
10044.6123046875,83,10044.6123046875,3611
9999.822265625,84,9999.822265625,3654
9985.158203125,85,9985.158203125,3697
9937.521484375,86,9937.521484375,3740
9927.0498046875,87,9927.0498046875,3783
9876.4814453125,88,9876.4814453125,3826
9863.509765625,89,9863.509765625,3869
9812.3984375,90,9812.3984375,3912
9791.1181640625,91,9791.1181640625,3955
9751.6044921875,92,9751.6044921875,3998
9720.4228515625,93,9720.4228515625,4041
9692.1875,94,9692.1875,4084
9689.1796875,95,9689.1796875,4127
9632.8505859375,96,9632.8505859375,4170
9602.96484375,97,9602.96484375,4213
9571.896484375,98,9571.896484375,4256
9549.390625,99,9549.390625,4299
