data_loss,epoch,mean_loss,step
170258923520.0,0,170258923520.0,18
28613906432.0,1,28613906432.0,37
236768576.0,2,236768576.0,56
308095296.0,3,308095296.0,75
2776191.75,4,2776191.75,94
5479984.0,5,5479984.0,113
827581.9375,6,827581.9375,132
771.6243896484375,7,771.6243896484375,151
13857.3095703125,8,13857.3095703125,170
5675.75048828125,9,5675.75048828125,189
1328.7645263671875,10,1328.7645263671875,208
339.56988525390625,11,339.56988525390625,227
126.60826110839844,12,126.60826110839844,246
71.9781265258789,13,71.9781265258789,265
55.02670669555664,14,55.02670669555664,284
50.5361442565918,15,50.5361442565918,303
55.23494338989258,16,55.23494338989258,322
74.57750701904297,17,74.57750701904297,341
116.97834777832031,18,116.97834777832031,360
204.61976623535156,19,204.61976623535156,379
411.0608215332031,20,411.0608215332031,398
926.4381713867188,21,926.4381713867188,417
2309.159912109375,22,2309.159912109375,436
6293.51806640625,23,6293.51806640625,455
18685.212890625,24,18685.212890625,474
60263.546875,25,60263.546875,493
210555.765625,26,210555.765625,512
791701.3125,27,791701.3125,531
3198980.25,28,3198980.25,550
13786649.0,29,13786649.0,569
63683892.0,30,63683892.0,588
308571776.0,31,308571776.0,607
1598832512.0,32,1598832512.0,626
7469898752.0,33,7469898752.0,645
30732224512.0,34,30732224512.0,664
56742338560.0,35,56742338560.0,683
56940945408.0,36,56940945408.0,702
8205191168.0,37,8205191168.0,721
593353664.0,38,593353664.0,740
968991.625,39,968991.625,759
7838867.5,40,7838867.5,778
3406046.0,41,3406046.0,797
631483.875,42,631483.875,816
77832.0703125,43,77832.0703125,835
7361.0595703125,44,7361.0595703125,854
583.3642578125,45,583.3642578125,873
40.71485900878906,46,40.71485900878906,892
1.7217671871185303,47,1.7217671871185303,911
0.626849353313446,48,0.626849353313446,930
0.01465922873467207,49,0.01465922873467207,949
