data_loss,epoch,mean_loss,step
nan,0,nan,198
nan,1,nan,397
nan,2,nan,596
nan,3,nan,795
nan,4,nan,994
nan,5,nan,1193
nan,6,nan,1392
nan,7,nan,1591
nan,8,nan,1790
nan,9,nan,1989
nan,10,nan,2188
nan,11,nan,2387
nan,12,nan,2586
nan,13,nan,2785
nan,14,nan,2984
nan,15,nan,3183
nan,16,nan,3382
nan,17,nan,3581
nan,18,nan,3780
nan,19,nan,3979
nan,20,nan,4178
nan,21,nan,4377
nan,22,nan,4576
nan,23,nan,4775
nan,24,nan,4974
nan,25,nan,5173
nan,26,nan,5372
nan,27,nan,5571
nan,28,nan,5770
nan,29,nan,5969
nan,30,nan,6168
nan,31,nan,6367
nan,32,nan,6566
nan,33,nan,6765
nan,34,nan,6964
nan,35,nan,7163
nan,36,nan,7362
nan,37,nan,7561
nan,38,nan,7760
nan,39,nan,7959
nan,40,nan,8158
nan,41,nan,8357
nan,42,nan,8556
nan,43,nan,8755
nan,44,nan,8954
nan,45,nan,9153
nan,46,nan,9352
nan,47,nan,9551
nan,48,nan,9750
nan,49,nan,9949
nan,50,nan,10148
nan,51,nan,10347
nan,52,nan,10546
nan,53,nan,10745
nan,54,nan,10944
nan,55,nan,11143
nan,56,nan,11342
nan,57,nan,11541
nan,58,nan,11740
nan,59,nan,11939
nan,60,nan,12138
nan,61,nan,12337
nan,62,nan,12536
nan,63,nan,12735
nan,64,nan,12934
nan,65,nan,13133
nan,66,nan,13332
nan,67,nan,13531
nan,68,nan,13730
nan,69,nan,13929
nan,70,nan,14128
nan,71,nan,14327
nan,72,nan,14526
nan,73,nan,14725
nan,74,nan,14924
nan,75,nan,15123
nan,76,nan,15322
nan,77,nan,15521
nan,78,nan,15720
nan,79,nan,15919
nan,80,nan,16118
nan,81,nan,16317
nan,82,nan,16516
nan,83,nan,16715
nan,84,nan,16914
nan,85,nan,17113
nan,86,nan,17312
nan,87,nan,17511
nan,88,nan,17710
nan,89,nan,17909
nan,90,nan,18108
nan,91,nan,18307
nan,92,nan,18506
nan,93,nan,18705
nan,94,nan,18904
nan,95,nan,19103
nan,96,nan,19302
nan,97,nan,19501
nan,98,nan,19700
nan,99,nan,19899
nan,100,nan,20098
nan,101,nan,20297
nan,102,nan,20496
nan,103,nan,20695
nan,104,nan,20894
nan,105,nan,21093
nan,106,nan,21292
nan,107,nan,21491
nan,108,nan,21690
nan,109,nan,21889
nan,110,nan,22088
nan,111,nan,22287
nan,112,nan,22486
nan,113,nan,22685
nan,114,nan,22884
nan,115,nan,23083
nan,116,nan,23282
nan,117,nan,23481
nan,118,nan,23680
nan,119,nan,23879
nan,120,nan,24078
nan,121,nan,24277
nan,122,nan,24476
nan,123,nan,24675
nan,124,nan,24874
nan,125,nan,25073
nan,126,nan,25272
nan,127,nan,25471
nan,128,nan,25670
nan,129,nan,25869
nan,130,nan,26068
nan,131,nan,26267
nan,132,nan,26466
nan,133,nan,26665
nan,134,nan,26864
nan,135,nan,27063
nan,136,nan,27262
nan,137,nan,27461
nan,138,nan,27660
nan,139,nan,27859
nan,140,nan,28058
nan,141,nan,28257
nan,142,nan,28456
nan,143,nan,28655
nan,144,nan,28854
nan,145,nan,29053
nan,146,nan,29252
nan,147,nan,29451
nan,148,nan,29650
nan,149,nan,29849
nan,150,nan,30048
nan,151,nan,30247
nan,152,nan,30446
nan,153,nan,30645
nan,154,nan,30844
nan,155,nan,31043
nan,156,nan,31242
nan,157,nan,31441
nan,158,nan,31640
nan,159,nan,31839
nan,160,nan,32038
nan,161,nan,32237
nan,162,nan,32436
nan,163,nan,32635
nan,164,nan,32834
nan,165,nan,33033
nan,166,nan,33232
nan,167,nan,33431
nan,168,nan,33630
nan,169,nan,33829
nan,170,nan,34028
nan,171,nan,34227
nan,172,nan,34426
nan,173,nan,34625
nan,174,nan,34824
nan,175,nan,35023
nan,176,nan,35222
nan,177,nan,35421
nan,178,nan,35620
nan,179,nan,35819
nan,180,nan,36018
nan,181,nan,36217
nan,182,nan,36416
nan,183,nan,36615
nan,184,nan,36814
nan,185,nan,37013
nan,186,nan,37212
nan,187,nan,37411
nan,188,nan,37610
nan,189,nan,37809
nan,190,nan,38008
nan,191,nan,38207
nan,192,nan,38406
nan,193,nan,38605
nan,194,nan,38804
nan,195,nan,39003
nan,196,nan,39202
nan,197,nan,39401
nan,198,nan,39600
nan,199,nan,39799
