data_loss_epoch,data_loss_step,epoch,step,train_loss_epoch,train_loss_step
0.022075247019529343,,0,13,0.022075247019529343,
0.014887724071741104,,1,27,0.014887724071741104,
0.009595786221325397,,2,41,0.009595786221325397,
,0.0056958324275910854,3,49,,0.0056958324275910854
0.005908549297600985,,3,55,0.005908549297600985,
0.0034598717465996742,,4,69,0.0034598717465996742,
0.0011349476408213377,,5,83,0.0011349476408213377,
3.8416721508838236e-05,,6,97,3.8416721508838236e-05,
,1.783727748261299e-05,7,99,,1.783727748261299e-05
3.0198265449143946e-05,,7,111,3.0198265449143946e-05,
1.7263306290260516e-05,,8,125,1.7263306290260516e-05,
1.4110210031503811e-06,,9,139,1.4110210031503811e-06,
,7.836248983039695e-07,10,149,,7.836248983039695e-07
5.067305437478353e-07,,10,153,5.067305437478353e-07,
4.5205280230220524e-07,,11,167,4.5205280230220524e-07,
2.5841825390671147e-07,,12,181,2.5841825390671147e-07,
2.507043177502055e-07,,13,195,2.507043177502055e-07,
,7.085287165864429e-07,14,199,,7.085287165864429e-07
2.456094421177113e-07,,14,209,2.456094421177113e-07,
2.4302354972860485e-07,,15,223,2.4302354972860485e-07,
2.434904331494181e-07,,16,237,2.434904331494181e-07,
,3.274102056138872e-08,17,249,,3.274102056138872e-08
2.436268005112652e-07,,17,251,2.436268005112652e-07,
2.436258910165634e-07,,18,265,2.436258910165634e-07,
2.4360525685551693e-07,,19,279,2.4360525685551693e-07,
2.43637487074011e-07,,20,293,2.43637487074011e-07,
,4.2243691211751866e-08,21,299,,4.2243691211751866e-08
2.436891008983366e-07,,21,307,2.436891008983366e-07,
2.437309660763276e-07,,22,321,2.437309660763276e-07,
2.4376606688747415e-07,,23,335,2.4376606688747415e-07,
,2.593992043387061e-08,24,349,,2.593992043387061e-08
2.4380224772357906e-07,,24,349,2.4380224772357906e-07,
2.4383953700635175e-07,,25,363,2.4383953700635175e-07,
2.438768831325433e-07,,26,377,2.438768831325433e-07,
2.4391590613959124e-07,,27,391,2.4391590613959124e-07,
,2.439343305127295e-08,28,399,,2.439343305127295e-08
2.439505522033869e-07,,28,405,2.439505522033869e-07,
2.439879267512879e-07,,29,419,2.439879267512879e-07,
2.440234538880759e-07,,30,433,2.440234538880759e-07,
2.440609421228146e-07,,31,447,2.440609421228146e-07,
,3.9942467111586666e-08,32,449,,3.9942467111586666e-08
2.4409587240370456e-07,,32,461,2.4409587240370456e-07,
2.441311437451077e-07,,33,475,2.441311437451077e-07,
2.4416664246018627e-07,,34,489,2.4416664246018627e-07,
,1.1696869250954478e-06,35,499,,1.1696869250954478e-06
2.441995547997067e-07,,35,503,2.441995547997067e-07,
2.442366735522228e-07,,36,517,2.442366735522228e-07,
