data_loss,epoch,mean_loss,step
13532.66015625,0,13532.66015625,8
13431.0234375,1,13431.0234375,17
13340.556640625,2,13340.556640625,26
13261.9736328125,3,13261.9736328125,35
13194.8759765625,4,13194.8759765625,44
13137.333984375,5,13137.333984375,53
13087.125,6,13087.125,62
13042.3251953125,7,13042.3251953125,71
13001.4677734375,8,13001.4677734375,80
12963.4970703125,9,12963.4970703125,89
12927.68359375,10,12927.68359375,98
12893.5146484375,11,12893.5146484375,107
12860.6396484375,12,12860.6396484375,116
12828.80078125,13,12828.80078125,125
12797.7978515625,14,12797.7978515625,134
12767.484375,15,12767.484375,143
12737.7646484375,16,12737.7646484375,152
12708.521484375,17,12708.521484375,161
12679.720703125,18,12679.720703125,170
12651.2880859375,19,12651.2880859375,179
12623.22265625,20,12623.22265625,188
12595.4521484375,21,12595.4521484375,197
12568.07421875,22,12568.07421875,206
12540.916015625,23,12540.916015625,215
12513.9853515625,24,12513.9853515625,224
12487.240234375,25,12487.240234375,233
12460.6455078125,26,12460.6455078125,242
12434.27734375,27,12434.27734375,251
12408.0751953125,28,12408.0751953125,260
12382.0185546875,29,12382.0185546875,269
12356.0263671875,30,12356.0263671875,278
12330.19140625,31,12330.19140625,287
12304.5537109375,32,12304.5537109375,296
12278.8955078125,33,12278.8955078125,305
12253.4384765625,34,12253.4384765625,314
12228.083984375,35,12228.083984375,323
12202.7880859375,36,12202.7880859375,332
12177.6748046875,37,12177.6748046875,341
12152.63671875,38,12152.63671875,350
12127.8037109375,39,12127.8037109375,359
12103.1396484375,40,12103.1396484375,368
12078.626953125,41,12078.626953125,377
12054.353515625,42,12054.353515625,386
12030.1875,43,12030.1875,395
12006.1318359375,44,12006.1318359375,404
11982.1552734375,45,11982.1552734375,413
11958.27734375,46,11958.27734375,422
11934.4677734375,47,11934.4677734375,431
11910.73828125,48,11910.73828125,440
11887.1572265625,49,11887.1572265625,449
11863.771484375,50,11863.771484375,458
11840.455078125,51,11840.455078125,467
11817.2236328125,52,11817.2236328125,476
11794.08984375,53,11794.08984375,485
11771.0126953125,54,11771.0126953125,494
11748.0498046875,55,11748.0498046875,503
11725.216796875,56,11725.216796875,512
11702.50390625,57,11702.50390625,521
11679.794921875,58,11679.794921875,530
11657.3603515625,59,11657.3603515625,539
11634.748046875,60,11634.748046875,548
11612.93359375,61,11612.93359375,557
11590.3388671875,62,11590.3388671875,566
11570.5537109375,63,11570.5537109375,575
11545.99609375,64,11545.99609375,584
11524.3583984375,65,11524.3583984375,593
11501.9189453125,66,11501.9189453125,602
11481.8828125,67,11481.8828125,611
11458.3466796875,68,11458.3466796875,620
11438.2626953125,69,11438.2626953125,629
11414.904296875,70,11414.904296875,638
11394.802734375,71,11394.802734375,647
11371.8447265625,72,11371.8447265625,656
11352.3681640625,73,11352.3681640625,665
11329.0048828125,74,11329.0048828125,674
11309.30859375,75,11309.30859375,683
11286.5703125,76,11286.5703125,692
11267.8056640625,77,11267.8056640625,701
11244.2373046875,78,11244.2373046875,710
11224.7666015625,79,11224.7666015625,719
11202.4755859375,80,11202.4755859375,728
11184.7197265625,81,11184.7197265625,737
11160.49609375,82,11160.49609375,746
11140.728515625,83,11140.728515625,755
11119.4248046875,84,11119.4248046875,764
11102.904296875,85,11102.904296875,773
11077.828125,86,11077.828125,782
11057.88671875,87,11057.88671875,791
11037.2373046875,88,11037.2373046875,800
11021.1630859375,89,11021.1630859375,809
10996.58984375,90,10996.58984375,818
10978.71484375,91,10978.71484375,827
10956.720703125,92,10956.720703125,836
10941.8935546875,93,10941.8935546875,845
10915.5078125,94,10915.5078125,854
10895.2626953125,95,10895.2626953125,863
10875.1953125,96,10875.1953125,872
10855.546875,97,10855.546875,881
10835.8408203125,98,10835.8408203125,890
10819.8115234375,99,10819.8115234375,899
