data_loss,epoch,mean_loss,step
13580.8720703125,0,13580.8720703125,8
13466.05078125,1,13466.05078125,17
13370.625,2,13370.625,26
13286.8310546875,3,13286.8310546875,35
13217.767578125,4,13217.767578125,44
13155.09765625,5,13155.09765625,53
13101.43359375,6,13101.43359375,62
13053.8359375,7,13053.8359375,71
13010.740234375,8,13010.740234375,80
12971.0947265625,9,12971.0947265625,89
12934.0595703125,10,12934.0595703125,98
12899.021484375,11,12899.021484375,107
12865.5478515625,12,12865.5478515625,116
12833.322265625,13,12833.322265625,125
12802.12890625,14,12802.12890625,134
12771.7802734375,15,12771.7802734375,143
12742.1552734375,16,12742.1552734375,152
12713.1396484375,17,12713.1396484375,161
12684.63671875,18,12684.63671875,170
12656.572265625,19,12656.572265625,179
12628.9013671875,20,12628.9013671875,188
12601.533203125,21,12601.533203125,197
12574.4443359375,22,12574.4443359375,206
12547.5771484375,23,12547.5771484375,215
12520.8896484375,24,12520.8896484375,224
12494.3037109375,25,12494.3037109375,233
12467.875,26,12467.875,242
12441.49609375,27,12441.49609375,251
12415.1015625,28,12415.1015625,260
12388.8115234375,29,12388.8115234375,269
12362.6611328125,30,12362.6611328125,278
12336.7685546875,31,12336.7685546875,287
12310.955078125,32,12310.955078125,296
12285.3994140625,33,12285.3994140625,305
12259.671875,34,12259.671875,314
12234.05859375,35,12234.05859375,323
12208.669921875,36,12208.669921875,332
12183.3623046875,37,12183.3623046875,341
12158.2490234375,38,12158.2490234375,350
12133.146484375,39,12133.146484375,359
12108.166015625,40,12108.166015625,368
12083.28515625,41,12083.28515625,377
12058.533203125,42,12058.533203125,386
12034.017578125,43,12034.017578125,395
12009.6376953125,44,12009.6376953125,404
11985.3564453125,45,11985.3564453125,413
11961.390625,46,11961.390625,422
11937.3154296875,47,11937.3154296875,431
11913.6748046875,48,11913.6748046875,440
11889.9931640625,49,11889.9931640625,449
11866.4970703125,50,11866.4970703125,458
11842.9814453125,51,11842.9814453125,467
11819.59765625,52,11819.59765625,476
11796.3212890625,53,11796.3212890625,485
11773.1494140625,54,11773.1494140625,494
11750.080078125,55,11750.080078125,503
11727.0771484375,56,11727.0771484375,512
11704.1435546875,57,11704.1435546875,521
11681.31640625,58,11681.31640625,530
11658.6376953125,59,11658.6376953125,539
11636.0244140625,60,11636.0244140625,548
11613.537109375,61,11613.537109375,557
11591.0869140625,62,11591.0869140625,566
11568.7705078125,63,11568.7705078125,575
11546.4794921875,64,11546.4794921875,584
11524.3544921875,65,11524.3544921875,593
11502.1953125,66,11502.1953125,602
11480.333984375,67,11480.333984375,611
11458.2822265625,68,11458.2822265625,620
11437.01953125,69,11437.01953125,629
11414.9794921875,70,11414.9794921875,638
11395.1982421875,71,11395.1982421875,647
11371.583984375,72,11371.583984375,656
11350.369140625,73,11350.369140625,665
11328.4970703125,74,11328.4970703125,674
11308.3193359375,75,11308.3193359375,683
11285.9560546875,76,11285.9560546875,692
11266.2626953125,77,11266.2626953125,701
11243.3759765625,78,11243.3759765625,710
11223.0390625,79,11223.0390625,719
11201.2265625,80,11201.2265625,728
11181.8115234375,81,11181.8115234375,737
11159.3583984375,82,11159.3583984375,746
11139.8994140625,83,11139.8994140625,755
11117.765625,84,11117.765625,764
11098.6298828125,85,11098.6298828125,773
11076.3125,86,11076.3125,782
11057.041015625,87,11057.041015625,791
11035.365234375,88,11035.365234375,800
11017.1611328125,89,11017.1611328125,809
10994.544921875,90,10994.544921875,818
10975.8408203125,91,10975.8408203125,827
10954.201171875,92,10954.201171875,836
10936.587890625,93,10936.587890625,845
10913.7822265625,94,10913.7822265625,854
10895.2822265625,95,10895.2822265625,863
10874.0595703125,96,10874.0595703125,872
10857.2158203125,97,10857.2158203125,881
10833.9404296875,98,10833.9404296875,890
10815.333984375,99,10815.333984375,899
