data_loss_epoch,data_loss_step,epoch,step,train_loss_epoch,train_loss_step
0.0052149491384625435,,0,13,0.0052149491384625435,
0.00039564058533869684,,1,27,0.00039564058533869684,
0.00014359662600327283,,2,41,0.00014359662600327283,
,6.768619869035319e-07,3,49,,6.768619869035319e-07
9.989009413402528e-06,,3,55,9.989009413402528e-06,
7.41480562282959e-06,,4,69,7.41480562282959e-06,
2.815230345731834e-06,,5,83,2.815230345731834e-06,
8.27139785997133e-07,,6,97,8.27139785997133e-07,
,4.341725343692815e-07,7,99,,4.341725343692815e-07
4.7144243353614e-07,,7,111,4.7144243353614e-07,
2.6553581733423925e-07,,8,125,2.6553581733423925e-07,
2.791584279293602e-07,,9,139,2.791584279293602e-07,
,4.846832624139097e-08,10,149,,4.846832624139097e-08
2.533887482059072e-07,,10,153,2.533887482059072e-07,
2.5208765919160214e-07,,11,167,2.5208765919160214e-07,
2.5815816684371384e-07,,12,181,2.5815816684371384e-07,
2.564951273598126e-07,,13,195,2.564951273598126e-07,
,1.909655367171581e-07,14,199,,1.909655367171581e-07
2.579351701115229e-07,,14,209,2.579351701115229e-07,
2.6003078801295487e-07,,15,223,2.6003078801295487e-07,
2.612598848372727e-07,,16,237,2.612598848372727e-07,
,3.0692152108713344e-07,17,249,,3.0692152108713344e-07
2.6272888931089255e-07,,17,251,2.6272888931089255e-07,
2.6446642209521087e-07,,18,265,2.6446642209521087e-07,
2.662285680798959e-07,,19,279,2.662285680798959e-07,
2.680553450318257e-07,,20,293,2.680553450318257e-07,
,1.1614420003525083e-07,21,299,,1.1614420003525083e-07
2.7000726277037757e-07,,21,307,2.7000726277037757e-07,
2.7207906327930687e-07,,22,321,2.7207906327930687e-07,
2.7426892756921006e-07,,23,335,2.7426892756921006e-07,
,1.5231286454309156e-08,24,349,,1.5231286454309156e-08
2.7658890644488565e-07,,24,349,2.7658890644488565e-07,
2.7904968646907946e-07,,25,363,2.7904968646907946e-07,
2.8165140975033864e-07,,26,377,2.8165140975033864e-07,
2.844024038495263e-07,,27,391,2.844024038495263e-07,
,6.728594712512859e-07,28,399,,6.728594712512859e-07
2.8730931944664917e-07,,28,405,2.8730931944664917e-07,
2.9037676085863495e-07,,29,419,2.9037676085863495e-07,
2.9360444386838935e-07,,30,433,2.9360444386838935e-07,
2.969898673654825e-07,,31,447,2.969898673654825e-07,
,4.183070814178791e-07,32,449,,4.183070814178791e-07
3.0052927968426957e-07,,32,461,3.0052927968426957e-07,
3.04209834212088e-07,,33,475,3.04209834212088e-07,
3.08017803263283e-07,,34,489,3.08017803263283e-07,
