data_loss,epoch,mean_loss,step
13567.0234375,0,13567.0234375,8
13472.705078125,1,13472.705078125,17
13389.3515625,2,13389.3515625,26
13317.146484375,3,13317.146484375,35
13255.1669921875,4,13255.1669921875,44
13201.4853515625,5,13201.4853515625,53
13154.05859375,6,13154.05859375,62
13111.216796875,7,13111.216796875,71
13071.62890625,8,13071.62890625,80
13034.3486328125,9,13034.3486328125,89
12998.8603515625,10,12998.8603515625,98
12964.88671875,11,12964.88671875,107
12932.197265625,12,12932.197265625,116
12900.5810546875,13,12900.5810546875,125
12869.869140625,14,12869.869140625,134
12839.9189453125,15,12839.9189453125,143
12810.6103515625,16,12810.6103515625,152
12781.865234375,17,12781.865234375,161
12753.61328125,18,12753.61328125,170
12725.7802734375,19,12725.7802734375,179
12698.3544921875,20,12698.3544921875,188
12671.25390625,21,12671.25390625,197
12644.4609375,22,12644.4609375,206
12617.916015625,23,12617.916015625,215
12591.5693359375,24,12591.5693359375,224
12565.419921875,25,12565.419921875,233
12539.353515625,26,12539.353515625,242
12513.4111328125,27,12513.4111328125,251
12487.6259765625,28,12487.6259765625,260
12461.625,29,12461.625,269
12435.8251953125,30,12435.8251953125,278
12409.9365234375,31,12409.9365234375,287
12384.0302734375,32,12384.0302734375,296
12358.083984375,33,12358.083984375,305
12332.2626953125,34,12332.2626953125,314
12306.359375,35,12306.359375,323
12280.5625,36,12280.5625,332
12254.7822265625,37,12254.7822265625,341
12229.1611328125,38,12229.1611328125,350
12203.76171875,39,12203.76171875,359
12178.58984375,40,12178.58984375,368
12153.6044921875,41,12153.6044921875,377
12128.890625,42,12128.890625,386
12104.265625,43,12104.265625,395
12079.7724609375,44,12079.7724609375,404
12055.3564453125,45,12055.3564453125,413
12031.021484375,46,12031.021484375,422
12006.8271484375,47,12006.8271484375,431
11982.8515625,48,11982.8515625,440
11959.033203125,49,11959.033203125,449
11935.369140625,50,11935.369140625,458
11911.841796875,51,11911.841796875,467
11888.3857421875,52,11888.3857421875,476
11865.052734375,53,11865.052734375,485
11841.8369140625,54,11841.8369140625,494
11818.6806640625,55,11818.6806640625,503
11795.658203125,56,11795.658203125,512
11772.640625,57,11772.640625,521
11749.8505859375,58,11749.8505859375,530
11726.9619140625,59,11726.9619140625,539
11704.5263671875,60,11704.5263671875,548
11681.7177734375,61,11681.7177734375,557
11660.234375,62,11660.234375,566
11636.890625,63,11636.890625,575
11615.99609375,64,11615.99609375,584
11592.2294921875,65,11592.2294921875,593
11570.740234375,66,11570.740234375,602
11548.0068359375,67,11548.0068359375,611
11527.494140625,68,11527.494140625,620
11504.06640625,69,11504.06640625,629
11483.359375,70,11483.359375,638
11460.4853515625,71,11460.4853515625,647
11440.423828125,72,11440.423828125,656
11417.1318359375,73,11417.1318359375,665
11396.87890625,74,11396.87890625,674
11374.1689453125,75,11374.1689453125,683
11354.619140625,76,11354.619140625,692
11331.34765625,77,11331.34765625,701
11311.4697265625,78,11311.4697265625,710
11289.0810546875,79,11289.0810546875,719
11270.57421875,80,11270.57421875,728
11246.7431640625,81,11246.7431640625,737
11226.830078125,82,11226.830078125,746
11205.1494140625,83,11205.1494140625,755
11187.4091796875,84,11187.4091796875,764
11163.16015625,85,11163.16015625,773
11143.2041015625,86,11143.2041015625,782
11122.23828125,87,11122.23828125,791
11105.359375,88,11105.359375,800
11080.7998046875,89,11080.7998046875,809
11061.2841796875,90,11061.2841796875,818
11040.5458984375,91,11040.5458984375,827
11024.61328125,92,11024.61328125,836
10999.228515625,93,10999.228515625,845
10979.2080078125,94,10979.2080078125,854
10959.052734375,95,10959.052734375,863
10941.693359375,96,10941.693359375,872
10920.671875,97,10920.671875,881
10908.8984375,98,10908.8984375,890
10879.2822265625,99,10879.2822265625,899
