data_loss_epoch,data_loss_step,epoch,step,train_loss_epoch,train_loss_step
0.008311061188578606,,0,4,0.008311061188578606,
0.006834752857685089,,1,9,0.006834752857685089,
0.005525711923837662,,2,14,0.005525711923837662,
0.00438667181879282,,3,19,0.00438667181879282,
0.003415152430534363,,4,24,0.003415152430534363,
0.0021503570023924112,,5,29,0.0021503570023924112,
0.0006995490984991193,,6,34,0.0006995490984991193,
0.00010742020822362974,,7,39,0.00010742020822362974,
1.0256990208290517e-05,,8,44,1.0256990208290517e-05,
,0.00011206429189769551,9,49,,0.00011206429189769551
8.203857578337193e-05,,9,49,8.203857578337193e-05,
0.00013543953537009656,,10,54,0.00013543953537009656,
0.00012311236059758812,,11,59,0.00012311236059758812,
7.438175816787407e-05,,12,64,7.438175816787407e-05,
2.9135324439266697e-05,,13,69,2.9135324439266697e-05,
5.580591277976055e-06,,14,74,5.580591277976055e-06,
4.520193215284962e-07,,15,79,4.520193215284962e-07,
2.693804617592832e-06,,16,84,2.693804617592832e-06,
4.420612185640493e-06,,17,89,4.420612185640493e-06,
3.694604629345122e-06,,18,94,3.694604629345122e-06,
,1.3356437875700067e-06,19,99,,1.3356437875700067e-06
1.923473519127583e-06,,19,99,1.923473519127583e-06,
6.560775887010095e-07,,20,104,6.560775887010095e-07,
2.747192695551348e-07,,21,109,2.747192695551348e-07,
3.600138995807356e-07,,22,114,3.600138995807356e-07,
4.56535502735278e-07,,23,119,4.56535502735278e-07,
4.2016787915599707e-07,,24,124,4.2016787915599707e-07,
3.247187123633921e-07,,25,129,3.247187123633921e-07,
2.599411459414114e-07,,26,134,2.599411459414114e-07,
2.437677153466211e-07,,27,139,2.437677153466211e-07,
2.491231612111733e-07,,28,144,2.491231612111733e-07,
,7.084142339408572e-08,29,149,,7.084142339408572e-08
2.5255579316763033e-07,,29,149,2.5255579316763033e-07,
2.5022686145348416e-07,,30,154,2.5022686145348416e-07,
2.4743880544519925e-07,,31,159,2.4743880544519925e-07,
2.4711715695957537e-07,,32,164,2.4711715695957537e-07,
2.480404930338409e-07,,33,169,2.480404930338409e-07,
2.483461685187649e-07,,34,174,2.483461685187649e-07,
2.47709863288037e-07,,35,179,2.47709863288037e-07,
2.468280513312493e-07,,36,184,2.468280513312493e-07,
2.462639940858935e-07,,37,189,2.462639940858935e-07,
2.460917016833264e-07,,38,194,2.460917016833264e-07,
,3.191957276271751e-08,39,199,,3.191957276271751e-08
2.4613157734165725e-07,,39,199,2.4613157734165725e-07,
2.4625046535220463e-07,,40,204,2.4625046535220463e-07,
2.463831947352446e-07,,41,209,2.463831947352446e-07,
2.464913393396273e-07,,42,214,2.464913393396273e-07,
2.4654730168549577e-07,,43,219,2.4654730168549577e-07,
2.4654036678839475e-07,,44,224,2.4654036678839475e-07,
2.465013153596374e-07,,45,229,2.465013153596374e-07,
2.4645726171002025e-07,,46,234,2.4645726171002025e-07,
2.464339559082873e-07,,47,239,2.464339559082873e-07,
2.464288968440087e-07,,48,244,2.464288968440087e-07,
,2.9740020224267028e-08,49,249,,2.9740020224267028e-08
2.464410329139355e-07,,49,249,2.464410329139355e-07,
2.4646101337566506e-07,,50,254,2.4646101337566506e-07,
2.4647934537824767e-07,,51,259,2.4647934537824767e-07,
2.4648841190355597e-07,,52,264,2.4648841190355597e-07,
2.464918793521065e-07,,53,269,2.464918793521065e-07,
2.4649298779877427e-07,,54,274,2.4649298779877427e-07,
2.4649250462971395e-07,,55,279,2.4649250462971395e-07,
2.464927604250988e-07,,56,284,2.464927604250988e-07,
2.4649486363159667e-07,,57,289,2.4649486363159667e-07,
2.4650120167279965e-07,,58,294,2.4650120167279965e-07,
,2.9628345998844452e-08,59,299,,2.9628345998844452e-08
2.4650847763041384e-07,,59,299,2.4650847763041384e-07,
2.465149862018734e-07,,60,304,2.465149862018734e-07,
2.4651814101162017e-07,,61,309,2.4651814101162017e-07,
2.4652271690683847e-07,,62,314,2.4652271690683847e-07,
2.4652501906530233e-07,,63,319,2.4652501906530233e-07,
2.4652888441778487e-07,,64,324,2.4652888441778487e-07,
2.465322097577882e-07,,65,329,2.465322097577882e-07,
2.465360182668519e-07,,66,334,2.465360182668519e-07,
2.465403383666853e-07,,67,339,2.465403383666853e-07,
2.4654326580275665e-07,,68,344,2.4654326580275665e-07,
,2.9670040646578855e-08,69,349,,2.9670040646578855e-08
2.4654829644532583e-07,,69,349,2.4654829644532583e-07,
2.4655187758071406e-07,,70,354,2.4655187758071406e-07,
2.465559134634532e-07,,71,359,2.465559134634532e-07,
2.4656054620209034e-07,,72,364,2.4656054620209034e-07,
2.465650084104709e-07,,73,369,2.465650084104709e-07,
2.4656961272739863e-07,,74,374,2.4656961272739863e-07,
2.465721991029568e-07,,75,379,2.465721991029568e-07,
2.4657401809236035e-07,,76,384,2.4657401809236035e-07,
2.465795034822804e-07,,77,389,2.465795034822804e-07,
2.465830277742498e-07,,78,394,2.465830277742498e-07,
,2.9717911687043852e-08,79,399,,2.9717911687043852e-08
2.46588257368785e-07,,79,399,2.46588257368785e-07,
2.4659195219101093e-07,,80,404,2.4659195219101093e-07,
2.465943396146031e-07,,81,409,2.465943396146031e-07,
2.4659811970195733e-07,,82,414,2.4659811970195733e-07,
2.466027524405945e-07,,83,419,2.466027524405945e-07,
2.4660684516675246e-07,,84,424,2.4660684516675246e-07,
2.466107957843633e-07,,85,429,2.466107957843633e-07,
2.4661608222231735e-07,,86,434,2.4661608222231735e-07,
2.466192086103547e-07,,87,439,2.466192086103547e-07,
2.466226760589052e-07,,88,444,2.466226760589052e-07,
,2.976213586691756e-08,89,449,,2.976213586691756e-08
2.4662642772455e-07,,89,449,2.4662642772455e-07,
2.466296677994251e-07,,90,454,2.466296677994251e-07,
2.466348405505414e-07,,91,459,2.466348405505414e-07,
2.466384785293485e-07,,92,464,2.466384785293485e-07,
2.4664029751875205e-07,,93,469,2.4664029751875205e-07,
2.4664404918439686e-07,,94,474,2.4664404918439686e-07,
2.466468060902116e-07,,95,479,2.466468060902116e-07,
2.4665300202286744e-07,,96,484,2.4665300202286744e-07,
2.4665851583449694e-07,,97,489,2.4665851583449694e-07,
2.466618695962097e-07,,98,494,2.466618695962097e-07,
,2.9813776336595765e-08,99,499,,2.9813776336595765e-08
2.466642854415113e-07,,99,499,2.466642854415113e-07,
