data_loss_epoch,data_loss_step,epoch,step,train_loss_epoch,train_loss_step
118726936.0,,0,6,118726936.0,
118701056.0,,1,13,118701056.0,
118673856.0,,2,20,118673856.0,
118642392.0,,3,27,118642392.0,
118606480.0,,4,34,118606480.0,
118524536.0,,5,41,118524536.0,
118330152.0,,6,48,118330152.0,
,123800544.0,7,49,,123800544.0
118020216.0,,7,55,118020216.0,
117530600.0,,8,62,117530600.0,
116784664.0,,9,69,116784664.0,
115695472.0,,10,76,115695472.0,
114160528.0,,11,83,114160528.0,
112063736.0,,12,90,112063736.0,
109279416.0,,13,97,109279416.0,
,81058800.0,14,99,,81058800.0
105684848.0,,14,104,105684848.0,
101163856.0,,15,111,101163856.0,
95629240.0,,16,118,95629240.0,
89025840.0,,17,125,89025840.0,
81348616.0,,18,132,81348616.0,
72660224.0,,19,139,72660224.0,
63099756.0,,20,146,63099756.0,
,58117568.0,21,149,,58117568.0
52900228.0,,21,153,52900228.0,
42445024.0,,22,160,42445024.0,
32200294.0,,23,167,32200294.0,
22689420.0,,24,174,22689420.0,
14483738.0,,25,181,14483738.0,
8073122.0,,26,188,8073122.0,
3707701.0,,27,195,3707701.0,
,1160038.75,28,199,,1160038.75
1265432.75,,28,202,1265432.75,
257432.3125,,29,209,257432.3125,
30366.2109375,,30,216,30366.2109375,
55841.1796875,,31,223,55841.1796875,
81915.6328125,,32,230,81915.6328125,
67913.1015625,,33,237,67913.1015625,
43265.16015625,,34,244,43265.16015625,
,27003.94140625,35,249,,27003.94140625
28043.498046875,,35,251,28043.498046875,
23052.4375,,36,258,23052.4375,
22608.580078125,,37,265,22608.580078125,
22838.0078125,,38,272,22838.0078125,
22699.119140625,,39,279,22699.119140625,
22393.255859375,,40,286,22393.255859375,
22177.248046875,,41,293,22177.248046875,
,21380.5546875,42,299,,21380.5546875
22084.060546875,,42,300,22084.060546875,
22042.92578125,,43,307,22042.92578125,
22000.15234375,,44,314,22000.15234375,
21943.14453125,,45,321,21943.14453125,
21878.63671875,,46,328,21878.63671875,
21813.314453125,,47,335,21813.314453125,
21749.5625,,48,342,21749.5625,
,35140.484375,49,349,,35140.484375
21687.2421875,,49,349,21687.2421875,
21625.677734375,,50,356,21625.677734375,
21564.474609375,,51,363,21564.474609375,
21503.29296875,,52,370,21503.29296875,
21441.8125,,53,377,21441.8125,
21379.84765625,,54,384,21379.84765625,
21317.205078125,,55,391,21317.205078125,
21253.982421875,,56,398,21253.982421875,
,16249.330078125,57,399,,16249.330078125
21190.1796875,,57,405,21190.1796875,
21125.865234375,,58,412,21125.865234375,
21061.10546875,,59,419,21061.10546875,
20995.912109375,,60,426,20995.912109375,
20930.220703125,,61,433,20930.220703125,
20864.0859375,,62,440,20864.0859375,
20797.421875,,63,447,20797.421875,
,24110.39453125,64,449,,24110.39453125
20730.359375,,64,454,20730.359375,
20662.693359375,,65,461,20662.693359375,
20594.57421875,,66,468,20594.57421875,
20526.001953125,,67,475,20526.001953125,
20456.84765625,,68,482,20456.84765625,
20387.169921875,,69,489,20387.169921875,
20314.630859375,,70,496,20314.630859375,
,22632.33984375,71,499,,22632.33984375
20236.380859375,,71,503,20236.380859375,
20155.49609375,,72,510,20155.49609375,
20072.2578125,,73,517,20072.2578125,
19986.501953125,,74,524,19986.501953125,
19897.955078125,,75,531,19897.955078125,
19806.572265625,,76,538,19806.572265625,
19711.236328125,,77,545,19711.236328125,
,13935.087890625,78,549,,13935.087890625
19597.583984375,,78,552,19597.583984375,
19472.97265625,,79,559,19472.97265625,
19340.970703125,,80,566,19340.970703125,
19200.0234375,,81,573,19200.0234375,
19029.169921875,,82,580,19029.169921875,
18831.810546875,,83,587,18831.810546875,
18604.9296875,,84,594,18604.9296875,
,20392.443359375,85,599,,20392.443359375
18338.537109375,,85,601,18338.537109375,
18013.724609375,,86,608,18013.724609375,
17651.552734375,,87,615,17651.552734375,
17187.095703125,,88,622,17187.095703125,
16509.94921875,,89,629,16509.94921875,
15413.673828125,,90,636,15413.673828125,
13731.4326171875,,91,643,13731.4326171875,
,11968.1376953125,92,649,,11968.1376953125
12814.46875,,92,650,12814.46875,
12116.708984375,,93,657,12116.708984375,
11511.712890625,,94,664,11511.712890625,
10976.212890625,,95,671,10976.212890625,
10375.6015625,,96,678,10375.6015625,
9764.734375,,97,685,9764.734375,
9154.84375,,98,692,9154.84375,
,12982.865234375,99,699,,12982.865234375
8492.21875,,99,699,8492.21875,
7686.130859375,,100,706,7686.130859375,
6581.70263671875,,101,713,6581.70263671875,
5124.20361328125,,102,720,5124.20361328125,
4470.0009765625,,103,727,4470.0009765625,
3757.9140625,,104,734,3757.9140625,
3093.574462890625,,105,741,3093.574462890625,
2547.6123046875,,106,748,2547.6123046875,
,1842.2298583984375,107,749,,1842.2298583984375
2166.62744140625,,107,755,2166.62744140625,
1836.4456787109375,,108,762,1836.4456787109375,
1537.9000244140625,,109,769,1537.9000244140625,
1282.62060546875,,110,776,1282.62060546875,
1062.2457275390625,,111,783,1062.2457275390625,
870.101318359375,,112,790,870.101318359375,
704.1083374023438,,113,797,704.1083374023438,
,682.2059326171875,114,799,,682.2059326171875
565.7020263671875,,114,804,565.7020263671875,
449.9102783203125,,115,811,449.9102783203125,
354.8096008300781,,116,818,354.8096008300781,
278.6026611328125,,117,825,278.6026611328125,
220.33969116210938,,118,832,220.33969116210938,
167.30288696289062,,119,839,167.30288696289062,
131.2617645263672,,120,846,131.2617645263672,
,116.92723846435547,121,849,,116.92723846435547
106.98621368408203,,121,853,106.98621368408203,
87.24920654296875,,122,860,87.24920654296875,
70.88394165039062,,123,867,70.88394165039062,
59.067447662353516,,124,874,59.067447662353516,
51.559959411621094,,125,881,51.559959411621094,
46.661865234375,,126,888,46.661865234375,
42.83763122558594,,127,895,42.83763122558594,
,37.86836624145508,128,899,,37.86836624145508
39.40898513793945,,128,902,39.40898513793945,
35.881134033203125,,129,909,35.881134033203125,
32.371795654296875,,130,916,32.371795654296875,
29.182693481445312,,131,923,29.182693481445312,
26.785337448120117,,132,930,26.785337448120117,
22.77420425415039,,133,937,22.77420425415039,
18.69757080078125,,134,944,18.69757080078125,
,20.492610931396484,135,949,,20.492610931396484
15.554169654846191,,135,951,15.554169654846191,
11.776968955993652,,136,958,11.776968955993652,
8.52585220336914,,137,965,8.52585220336914,
5.8498382568359375,,138,972,5.8498382568359375,
3.956031560897827,,139,979,3.956031560897827,
2.5122036933898926,,140,986,2.5122036933898926,
1.5216262340545654,,141,993,1.5216262340545654,
,0.41996073722839355,142,999,,0.41996073722839355
0.9061456918716431,,142,1000,0.9061456918716431,
0.5646891593933105,,143,1007,0.5646891593933105,
0.4053075909614563,,144,1014,0.4053075909614563,
0.3277537524700165,,145,1021,0.3277537524700165,
0.2831639349460602,,146,1028,0.2831639349460602,
0.2533647119998932,,147,1035,0.2533647119998932,
0.22980950772762299,,148,1042,0.22980950772762299,
,0.0003251582384109497,149,1049,,0.0003251582384109497
0.21003486216068268,,149,1049,0.21003486216068268,
0.19280235469341278,,150,1056,0.19280235469341278,
0.17753314971923828,,151,1063,0.17753314971923828,
0.16514047980308533,,152,1070,0.16514047980308533,
0.17095999419689178,,153,1077,0.17095999419689178,
0.15023380517959595,,154,1084,0.15023380517959595,
0.13547967374324799,,155,1091,0.13547967374324799,
0.1230798214673996,,156,1098,0.1230798214673996,
,0.001104709692299366,157,1099,,0.001104709692299366
0.11281726509332657,,157,1105,0.11281726509332657,
0.10597728937864304,,158,1112,0.10597728937864304,
0.09661734849214554,,159,1119,0.09661734849214554,
0.08851153403520584,,160,1126,0.08851153403520584,
0.08064761757850647,,161,1133,0.08064761757850647,
0.07632933557033539,,162,1140,0.07632933557033539,
0.0783316045999527,,163,1147,0.0783316045999527,
,0.0012622317299246788,164,1149,,0.0012622317299246788
0.06813263893127441,,164,1154,0.06813263893127441,
0.061425842344760895,,165,1161,0.061425842344760895,
0.05582856759428978,,166,1168,0.05582856759428978,
0.05011455714702606,,167,1175,0.05011455714702606,
0.046001654118299484,,168,1182,0.046001654118299484,
0.04340748488903046,,169,1189,0.04340748488903046,
0.042317163199186325,,170,1196,0.042317163199186325,
,0.0006043373141437769,171,1199,,0.0006043373141437769
0.03903966024518013,,171,1203,0.03903966024518013,
0.034912653267383575,,172,1210,0.034912653267383575,
0.031640660017728806,,173,1217,0.031640660017728806,
0.028368854895234108,,174,1224,0.028368854895234108,
0.02597583830356598,,175,1231,0.02597583830356598,
0.024108698591589928,,176,1238,0.024108698591589928,
0.022788891568779945,,177,1245,0.022788891568779945,
,0.0004988387227058411,178,1249,,0.0004988387227058411
0.021405305713415146,,178,1252,0.021405305713415146,
0.019286004826426506,,179,1259,0.019286004826426506,
0.017410464584827423,,180,1266,0.017410464584827423,
0.015763653442263603,,181,1273,0.015763653442263603,
0.014713754877448082,,182,1280,0.014713754877448082,
0.013551796786487103,,183,1287,0.013551796786487103,
0.012496940791606903,,184,1294,0.012496940791606903,
,0.07188604772090912,185,1299,,0.07188604772090912
0.01171916164457798,,185,1301,0.01171916164457798,
0.010681838728487492,,186,1308,0.010681838728487492,
0.009880048222839832,,187,1315,0.009880048222839832,
0.009308711625635624,,188,1322,0.009308711625635624,
0.008384364657104015,,189,1329,0.008384364657104015,
0.007804359775036573,,190,1336,0.007804359775036573,
0.007393192499876022,,191,1343,0.007393192499876022,
,1.032371073961258e-05,192,1349,,1.032371073961258e-05
0.006818356458097696,,192,1350,0.006818356458097696,
0.006564498413354158,,193,1357,0.006564498413354158,
0.005861891433596611,,194,1364,0.005861891433596611,
0.005428570322692394,,195,1371,0.005428570322692394,
0.005347342696040869,,196,1378,0.005347342696040869,
0.005143170244991779,,197,1385,0.005143170244991779,
0.004612796474248171,,198,1392,0.004612796474248171,
,0.0007355846464633942,199,1399,,0.0007355846464633942
0.004154716618359089,,199,1399,0.004154716618359089,
0.004200769122689962,,200,1406,0.004200769122689962,
0.0038422411307692528,,201,1413,0.0038422411307692528,
0.0036434768699109554,,202,1420,0.0036434768699109554,
0.003392788115888834,,203,1427,0.003392788115888834,
0.003265819512307644,,204,1434,0.003265819512307644,
0.0030648335814476013,,205,1441,0.0030648335814476013,
0.002798841567710042,,206,1448,0.002798841567710042,
,0.0005617784336209297,207,1449,,0.0005617784336209297
0.002507655881345272,,207,1455,0.002507655881345272,
0.0023113407660275698,,208,1462,0.0023113407660275698,
0.0023135640658438206,,209,1469,0.0023135640658438206,
0.0021604616194963455,,210,1476,0.0021604616194963455,
0.0020565828308463097,,211,1483,0.0020565828308463097,
0.0018710896838456392,,212,1490,0.0018710896838456392,
0.0016802351456135511,,213,1497,0.0016802351456135511,
,5.979090929031372e-07,214,1499,,5.979090929031372e-07
0.001576308044604957,,214,1504,0.001576308044604957,
0.0015964695485308766,,215,1511,0.0015964695485308766,
0.0014959992840886116,,216,1518,0.0014959992840886116,
0.0014227002393454313,,217,1525,0.0014227002393454313,
0.0013078921474516392,,218,1532,0.0013078921474516392,
0.001178866601549089,,219,1539,0.001178866601549089,
0.0010567569406703115,,220,1546,0.0010567569406703115,
,0.00014046765863895416,221,1549,,0.00014046765863895416
0.001033748034387827,,221,1553,0.001033748034387827,
0.0010516121983528137,,222,1560,0.0010516121983528137,
0.0010331195080652833,,223,1567,0.0010331195080652833,
0.0009955593850463629,,224,1574,0.0009955593850463629,
0.0009193127043545246,,225,1581,0.0009193127043545246,
0.0008082121494226158,,226,1588,0.0008082121494226158,
0.0007291559595614672,,227,1595,0.0007291559595614672,
,6.60354271531105e-05,228,1599,,6.60354271531105e-05
0.0006695262854918838,,228,1602,0.0006695262854918838,
0.0006236169137991965,,229,1609,0.0006236169137991965,
0.0006280519301071763,,230,1616,0.0006280519301071763,
0.0006539024179801345,,231,1623,0.0006539024179801345,
0.0006739470409229398,,232,1630,0.0006739470409229398,
0.0006655507604591548,,233,1637,0.0006655507604591548,
0.000615070981439203,,234,1644,0.000615070981439203,
,0.002994021400809288,235,1649,,0.002994021400809288
0.0005362197989597917,,235,1651,0.0005362197989597917,
0.0005090173217467964,,236,1658,0.0005090173217467964,
0.0004917265614494681,,237,1665,0.0004917265614494681,
0.00046781639684922993,,238,1672,0.00046781639684922993,
0.0004446982638910413,,239,1679,0.0004446982638910413,
0.000432512752013281,,240,1686,0.000432512752013281,
0.0004222894203849137,,241,1693,0.0004222894203849137,
,1.4299759641289711e-05,242,1699,,1.4299759641289711e-05
0.0004039984196424484,,242,1700,0.0004039984196424484,
0.00039464596193283796,,243,1707,0.00039464596193283796,
0.00040418587741442025,,244,1714,0.00040418587741442025,
0.00042663581552915275,,245,1721,0.00042663581552915275,
0.00043127950630150735,,246,1728,0.00043127950630150735,
0.00043889033258892596,,247,1735,0.00043889033258892596,
0.00041142103145830333,,248,1742,0.00041142103145830333,
,3.862753510475159e-05,249,1749,,3.862753510475159e-05
0.000397510826587677,,249,1749,0.000397510826587677,
0.000370332709280774,,250,1756,0.000370332709280774,
0.0003494448319543153,,251,1763,0.0003494448319543153,
0.000334589509293437,,252,1770,0.000334589509293437,
0.00032153804204426706,,253,1777,0.00032153804204426706,
0.00029999430989846587,,254,1784,0.00029999430989846587,
0.000290984840830788,,255,1791,0.000290984840830788,
0.0002839405497070402,,256,1798,0.0002839405497070402,
,3.241002559661865e-07,257,1799,,3.241002559661865e-07
0.00027675944147631526,,257,1805,0.00027675944147631526,
0.000270578486379236,,258,1812,0.000270578486379236,
0.0002568890049587935,,259,1819,0.0002568890049587935,
0.0002616118872538209,,260,1826,0.0002616118872538209,
0.0002785489778034389,,261,1833,0.0002785489778034389,
0.0002651601389516145,,262,1840,0.0002651601389516145,
0.0002725844387896359,,263,1847,0.0002725844387896359,
,4.2407773435115814e-05,264,1849,,4.2407773435115814e-05
0.00028687046142295003,,264,1854,0.00028687046142295003,
0.00026823728694580495,,265,1861,0.00026823728694580495,
0.000253056816291064,,266,1868,0.000253056816291064,
0.00023926097492221743,,267,1875,0.00023926097492221743,
0.0002315808815183118,,268,1882,0.0002315808815183118,
0.00021350297902245075,,269,1889,0.00021350297902245075,
0.00021126438514329493,,270,1896,0.00021126438514329493,
,3.145076334476471e-06,271,1899,,3.145076334476471e-06
0.0002042692940449342,,271,1903,0.0002042692940449342,
0.00019800708105321974,,272,1910,0.00019800708105321974,
0.00018736351921688765,,273,1917,0.00018736351921688765,
0.00018731136515270919,,274,1924,0.00018731136515270919,
0.00018819409888237715,,275,1931,0.00018819409888237715,
0.0001794527779566124,,276,1938,0.0001794527779566124,
0.00017754585132934153,,277,1945,0.00017754585132934153,
,8.940696716308594e-08,278,1949,,8.940696716308594e-08
0.00017678167205303907,,278,1952,0.00017678167205303907,
0.00016634576604701579,,279,1959,0.00016634576604701579,
0.00016626987780909985,,280,1966,0.00016626987780909985,
0.00016184076957870275,,281,1973,0.00016184076957870275,
0.0001672764919931069,,282,1980,0.0001672764919931069,
0.0001611708867130801,,283,1987,0.0001611708867130801,
0.00016832418623380363,,284,1994,0.00016832418623380363,
,0.0009984252974390984,285,1999,,0.0009984252974390984
0.00017354093142785132,,285,2001,0.00017354093142785132,
0.00015822716522961855,,286,2008,0.00015822716522961855,
0.00015401188284158707,,287,2015,0.00015401188284158707,
0.00014965895388741046,,288,2022,0.00014965895388741046,
0.00014422718959394842,,289,2029,0.00014422718959394842,
0.00013843704073224217,,290,2036,0.00013843704073224217,
0.0001386493822792545,,291,2043,0.0001386493822792545,
,3.700144588947296e-06,292,2049,,3.700144588947296e-06
0.00013872642011847347,,292,2050,0.00013872642011847347,
0.00013345546904020011,,293,2057,0.00013345546904020011,
0.00012850470375269651,,294,2064,0.00012850470375269651,
0.0001285428588744253,,295,2071,0.0001285428588744253,
0.00012418949336279184,,296,2078,0.00012418949336279184,
0.00012407373287715018,,297,2085,0.00012407373287715018,
0.00011995885870419443,,298,2092,0.00011995885870419443,
,4.59328293800354e-06,299,2099,,4.59328293800354e-06
0.00012098375736968592,,299,2099,0.00012098375736968592,
0.00011856544733745977,,300,2106,0.00011856544733745977,
0.00011508934403536841,,301,2113,0.00011508934403536841,
0.00011312295100651681,,302,2120,0.00011312295100651681,
0.00011509225441841409,,303,2127,0.00011509225441841409,
0.0001245259481947869,,304,2134,0.0001245259481947869,
0.00011594191892072558,,305,2141,0.00011594191892072558,
0.00011001028906321153,,306,2148,0.00011001028906321153,
,6.230548024177551e-07,307,2149,,6.230548024177551e-07
0.00010433293937239796,,307,2155,0.00010433293937239796,
0.0001062055307556875,,308,2162,0.0001062055307556875,
0.0001043125957949087,,309,2169,0.0001043125957949087,
9.974643762689084e-05,,310,2176,9.974643762689084e-05,
9.956303983926773e-05,,311,2183,9.956303983926773e-05,
9.57883894443512e-05,,312,2190,9.57883894443512e-05,
9.224180394085124e-05,,313,2197,9.224180394085124e-05,
,4.5634806156158447e-07,314,2199,,4.5634806156158447e-07
9.182412031805143e-05,,314,2204,9.182412031805143e-05,
8.864034316502512e-05,,315,2211,8.864034316502512e-05,
8.800000068731606e-05,,316,2218,8.800000068731606e-05,
8.823726238915697e-05,,317,2225,8.823726238915697e-05,
8.876818901626393e-05,,318,2232,8.876818901626393e-05,
8.828435238683596e-05,,319,2239,8.828435238683596e-05,
8.446005085716024e-05,,320,2246,8.446005085716024e-05,
,1.5329569578170776e-06,321,2249,,1.5329569578170776e-06
8.195031114155427e-05,,321,2253,8.195031114155427e-05,
8.168734348146245e-05,,322,2260,8.168734348146245e-05,
8.140646241372451e-05,,323,2267,8.140646241372451e-05,
7.813972479198128e-05,,324,2274,7.813972479198128e-05,
7.404696225421503e-05,,325,2281,7.404696225421503e-05,
