data_loss_epoch,data_loss_step,epoch,step,train_loss_epoch,train_loss_step
0.009224739857017994,,0,13,0.009224739857017994,
0.0037719004321843386,,1,27,0.0037719004321843386,
0.001022570882923901,,2,41,0.001022570882923901,
,0.00010529487917665392,3,49,,0.00010529487917665392
0.00014162359002511948,,3,55,0.00014162359002511948,
3.6593344248103676e-06,,4,69,3.6593344248103676e-06,
8.68385086505441e-06,,5,83,8.68385086505441e-06,
1.5331460190282087e-06,,6,97,1.5331460190282087e-06,
,5.750817422267573e-07,7,99,,5.750817422267573e-07
9.324985512648709e-07,,7,111,9.324985512648709e-07,
2.6745570380626305e-07,,8,125,2.6745570380626305e-07,
2.85048997739068e-07,,9,139,2.85048997739068e-07,
,1.5340468451086053e-08,10,149,,1.5340468451086053e-08
2.588498659861216e-07,,10,153,2.588498659861216e-07,
2.453540730584791e-07,,11,167,2.453540730584791e-07,
2.5015972937580955e-07,,12,181,2.5015972937580955e-07,
2.4884295157789893e-07,,13,195,2.4884295157789893e-07,
,3.917238444728355e-08,14,199,,3.917238444728355e-08
2.484475203345937e-07,,14,209,2.484475203345937e-07,
2.4914854179769463e-07,,15,223,2.4914854179769463e-07,
2.489940698069404e-07,,16,237,2.489940698069404e-07,
,3.167067177400895e-07,17,249,,3.167067177400895e-07
2.49192083856542e-07,,17,251,2.49192083856542e-07,
2.493400472758367e-07,,18,265,2.493400472758367e-07,
2.4944134224824666e-07,,19,279,2.4944134224824666e-07,
2.4959163624771463e-07,,20,293,2.4959163624771463e-07,
,6.736465252288326e-07,21,299,,6.736465252288326e-07
2.497113484878355e-07,,21,307,2.497113484878355e-07,
2.498436231235246e-07,,22,321,2.498436231235246e-07,
2.4996987235681445e-07,,23,335,2.4996987235681445e-07,
,4.985848178762353e-08,24,349,,4.985848178762353e-08
2.500991342913039e-07,,24,349,2.500991342913039e-07,
2.502299878415215e-07,,25,363,2.502299878415215e-07,
2.503587950286601e-07,,26,377,2.503587950286601e-07,
