data_loss,epoch,mean_loss,step
1.7258815076069382e+27,0,1.7258815076069382e+27,192
1.7258815076069382e+27,1,1.7258815076069382e+27,385
1.7258815076069382e+27,2,1.7258815076069382e+27,578
1.7258815076069382e+27,3,1.7258815076069382e+27,771
1.7258815076069382e+27,4,1.7258815076069382e+27,964
1.7258815076069382e+27,5,1.7258815076069382e+27,1157
1.7258815076069382e+27,6,1.7258815076069382e+27,1350
1.7258815076069382e+27,7,1.7258815076069382e+27,1543
1.7258815076069382e+27,8,1.7258815076069382e+27,1736
1.7258815076069382e+27,9,1.7258815076069382e+27,1929
1.7258815076069382e+27,10,1.7258815076069382e+27,2122
1.7258815076069382e+27,11,1.7258815076069382e+27,2315
1.7258815076069382e+27,12,1.7258815076069382e+27,2508
1.7258815076069382e+27,13,1.7258815076069382e+27,2701
1.7258815076069382e+27,14,1.7258815076069382e+27,2894
1.7258815076069382e+27,15,1.7258815076069382e+27,3087
1.7258815076069382e+27,16,1.7258815076069382e+27,3280
1.7258815076069382e+27,17,1.7258815076069382e+27,3473
1.7258815076069382e+27,18,1.7258815076069382e+27,3666
1.7258815076069382e+27,19,1.7258815076069382e+27,3859
1.7258815076069382e+27,20,1.7258815076069382e+27,4052
1.7258815076069382e+27,21,1.7258815076069382e+27,4245
1.7258815076069382e+27,22,1.7258815076069382e+27,4438
1.7258815076069382e+27,23,1.7258815076069382e+27,4631
1.7258815076069382e+27,24,1.7258815076069382e+27,4824
1.7258815076069382e+27,25,1.7258815076069382e+27,5017
1.7258815076069382e+27,26,1.7258815076069382e+27,5210
1.7258815076069382e+27,27,1.7258815076069382e+27,5403
1.7258815076069382e+27,28,1.7258815076069382e+27,5596
1.7258815076069382e+27,29,1.7258815076069382e+27,5789
1.7258815076069382e+27,30,1.7258815076069382e+27,5982
1.7258815076069382e+27,31,1.7258815076069382e+27,6175
