data_loss_epoch,data_loss_step,epoch,step,train_loss_epoch,train_loss_step
0.05300796031951904,,0,13,0.05300796031951904,
0.0461462140083313,,1,27,0.0461462140083313,
0.03991420939564705,,2,41,0.03991420939564705,
,0.03411584347486496,3,49,,0.03411584347486496
0.03432929515838623,,3,55,0.03432929515838623,
0.029368653893470764,,4,69,0.029368653893470764,
0.02167700231075287,,5,83,0.02167700231075287,
0.012503557838499546,,6,97,0.012503557838499546,
,0.008551932871341705,7,99,,0.008551932871341705
0.006814054679125547,,7,111,0.006814054679125547,
0.003521684557199478,,8,125,0.003521684557199478,
0.0017226022901013494,,9,139,0.0017226022901013494,
,0.0006458032876253128,10,149,,0.0006458032876253128
0.0007945517427287996,,10,153,0.0007945517427287996,
0.0003441857697907835,,11,167,0.0003441857697907835,
0.00013941976067144424,,12,181,0.00013941976067144424,
5.257273369352333e-05,,13,195,5.257273369352333e-05,
,2.2071613784646615e-05,14,199,,2.2071613784646615e-05
1.838522803154774e-05,,14,209,1.838522803154774e-05,
5.977824002911802e-06,,15,223,5.977824002911802e-06,
1.8662906313693384e-06,,16,237,1.8662906313693384e-06,
,9.583999371898244e-08,17,249,,9.583999371898244e-08
6.419164719773107e-07,,17,251,6.419164719773107e-07,
3.2388473414357577e-07,,18,265,3.2388473414357577e-07,
2.5660341407274245e-07,,19,279,2.5660341407274245e-07,
2.4746714188950136e-07,,20,293,2.4746714188950136e-07,
,5.554478121894135e-08,21,299,,5.554478121894135e-08
2.4806155352052883e-07,,21,307,2.4806155352052883e-07,
2.489382779913285e-07,,22,321,2.489382779913285e-07,
2.492044188784348e-07,,23,335,2.492044188784348e-07,
,8.119717449517339e-07,24,349,,8.119717449517339e-07
2.4918671215345967e-07,,24,349,2.4918671215345967e-07,
2.491001112048252e-07,,25,363,2.491001112048252e-07,
2.490266979293665e-07,,26,377,2.490266979293665e-07,
2.489934161076235e-07,,27,391,2.489934161076235e-07,
,4.191488756077888e-07,28,399,,4.191488756077888e-07
2.4898616857171874e-07,,28,405,2.4898616857171874e-07,
2.4899310346881975e-07,,29,419,2.4899310346881975e-07,
2.4900208472899976e-07,,30,433,2.4900208472899976e-07,
2.490042732006259e-07,,31,447,2.490042732006259e-07,
,1.0585063137114048e-06,32,449,,1.0585063137114048e-06
2.490108954589232e-07,,32,461,2.490108954589232e-07,
2.490180861514091e-07,,33,475,2.490180861514091e-07,
2.4902817585825687e-07,,34,489,2.4902817585825687e-07,
,7.079349018113135e-08,35,499,,7.079349018113135e-08
2.4903275175347517e-07,,35,503,2.4903275175347517e-07,
2.490357644546748e-07,,36,517,2.490357644546748e-07,
2.49043637268187e-07,,37,531,2.49043637268187e-07,
2.49052220624435e-07,,38,545,2.49052220624435e-07,
,1.0461037902587123e-07,39,549,,1.0461037902587123e-07
2.4906253770495823e-07,,39,559,2.4906253770495823e-07,
2.490737074367644e-07,,40,573,2.490737074367644e-07,
2.4909263629524503e-07,,41,587,2.4909263629524503e-07,
,5.802147029498883e-08,42,599,,5.802147029498883e-08
2.490992585535423e-07,,42,601,2.490992585535423e-07,
2.4910312390602485e-07,,43,615,2.4910312390602485e-07,
2.4910909246500523e-07,,44,629,2.4910909246500523e-07,
2.491171926521929e-07,,45,643,2.491171926521929e-07,
,6.072188796224509e-08,46,649,,6.072188796224509e-08
2.4912023377510195e-07,,46,657,2.4912023377510195e-07,
2.491292434569914e-07,,47,671,2.491292434569914e-07,
2.4913825313888083e-07,,48,685,2.4913825313888083e-07,
,8.192117206817784e-07,49,699,,8.192117206817784e-07
