,run_id,step_idx,eps_total,eps_delta,phase,param.c_c,param.c_s,param.e0,param.eps_0,param.eps_delta,param.sigma_max,param.sigma_min,e_s,sigma_0,param.sigma_prime_p,sigma_delta
0,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
1,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
2,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
3,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
4,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
5,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
6,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
7,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
8,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
9,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
10,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
11,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
12,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
13,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
14,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
15,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
16,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
17,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
18,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
19,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
20,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
21,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
22,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
23,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
24,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
25,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
26,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
27,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
28,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
29,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
30,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
31,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
32,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
33,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
34,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
35,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
36,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
37,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
38,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
39,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
40,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
41,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
42,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
43,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
44,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
45,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
46,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
47,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
48,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
49,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
50,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
51,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
52,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
53,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
54,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
55,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
56,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
57,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
58,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
59,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
60,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
61,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
62,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
63,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
64,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
65,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
66,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
67,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
68,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
69,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
70,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
71,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
72,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
73,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
74,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
75,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
76,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
77,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
78,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
79,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
80,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
81,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
82,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
83,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
84,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
85,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
86,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
87,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
88,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
89,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
90,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
91,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
92,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
93,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
94,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
95,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
96,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
97,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
98,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
99,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
100,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
101,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
102,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
103,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
104,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
105,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
106,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
107,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
108,0,0,0,0,extension,0.005,0.002,1.0,0,0.0005,-1000,-100,-600000.0000000006,1200.0000000000011,1200.0000000000011,-600.0000000000006
